Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
165,61.55,CELLxGENE:f7cd2a61-2bdc-41c0-a845-32f66a62c2b6,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/63a04d6a-166b-4f02-bf41-b3ba954025d5.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
166,61.55,CELLxGENE:eaf8f9a3-52fd-46c9-a05d-92a52451a42c,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/39c7871c-7808-42fe-84c2-8684b295f5c8.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
167,61.55,CELLxGENE:bc86f972-c8d0-4ef1-b296-9f6dead700aa,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/67a7c158-a4bd-4fb4-ac31-69ab872c4c2b.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
168,61.55,CELLxGENE:9eb5e239-740e-408b-a494-bfcf2fe8d05b,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/9f1d5486-5316-4fc7-a5ee-3b5c0dcc2845.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
169,61.55,CELLxGENE:9849b046-445b-4460-a6d5-ce247c911a42,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/dc068866-ca64-48f0-9fbd-970fe79ee240.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
170,61.55,CELLxGENE:95e1779d-25d6-4274-bf2b-7db1f4380c0c,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/893ff891-ecf5-4de7-9c65-537e7b604fdf.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
171,61.55,CELLxGENE:91d3b939-744f-45d3-b782-79196ed93612,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/9081ff7f-a51a-43f5-83dc-11cdd2247ed2.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
172,61.55,CELLxGENE:87789c9c-c10d-47c8-ab63-5125a8e70216,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/b85a7f42-a12b-47c0-9a34-f75fe70d3aa5.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
173,61.55,CELLxGENE:7f7d11a9-aa45-4b02-a263-35d88e4dcdd4,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/368ad3c0-65b9-43f5-abbc-4f2b412c9be7.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
174,61.55,CELLxGENE:66dc396c-7d51-4ad0-b1a5-abd0d59d3d67,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/68bd001c-90e4-4dea-973b-a7bcb740de3b.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
175,61.55,CELLxGENE:6476d8b6-1ad0-47b3-b243-846a08007311,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/11e82612-24b9-4490-813a-bd0970df0a98.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
176,61.55,CELLxGENE:4fd2ee79-ab3a-4827-a773-1b7dcd099307,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/661054b2-c6bd-4f4f-a6a6-681ac1a47c3d.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
177,61.55,CELLxGENE:4c367cfb-fd4c-4505-bac9-5456f4fb3a44,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/19484a73-b2c7-4568-8be2-a22a2309252e.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
178,61.55,CELLxGENE:49a896ee-ac93-480a-8b58-19afa747d6b9,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/dbb17b4d-c887-4b5a-85e2-ca48d8a8c528.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
179,61.55,CELLxGENE:32513e13-8f4a-4418-b4d5-faac85fa430d,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/9ef2a0ca-7ad4-4d94-a52d-ed68464bd0f0.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
180,61.55,CELLxGENE:2257d8b0-7385-48b8-8dca-c5772592c5ea,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/6f7b96ec-bf1d-4414-9625-1ecaa8797e52.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
181,61.55,CELLxGENE:1f2630df-fa28-4ebc-9e91-b870c93fc68a,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/d96ceabc-479f-4259-b004-fbcdf2a9db25.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
182,61.55,CELLxGENE:1c50055f-6add-4035-b592-9e52a729663e,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/6867bedb-b30d-475c-9d4e-266f37b5e17e.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
183,61.55,CELLxGENE:1a0aec1a-e465-4bea-aaba-a6d58d0ba2c1,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/9a88b65a-4271-4887-a0c9-d848d6d49463.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
